"subject" "activity" "featDomain" "featAcceleration" "featInstrument" "featJerk" "featMagnitude" "featVariable" "featAxis" "count" "average"
1 "LAYING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 61 -0.988250657213115
1 "LAYING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 61 -0.987756745573771
1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 61 -0.979040897704918
1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 61 -0.965719682622951
1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 61 -0.975512832622951
1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "X" 61 -0.969523051639344
1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 61 -0.939676040819672
1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 61 -0.963838671639344
1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 61 -0.968843978852459
1 "LAYING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 61 -0.958812219836066
1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 61 -0.988091066557377
1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 61 -0.984855225901639
1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 61 -0.985510000327869
1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 61 -0.98896331704918
1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 61 -0.986199676557377
1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 61 -0.988231329180328
1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 61 -0.987348043442623
1 "LAYING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 61 -0.987060763114754
1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 52 -0.0368848696769231
1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 52 -0.0659106753076923
1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 52 0.0909894822538462
1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "X" 52 -0.990586141538461
1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 52 -0.983152627115385
1 "SITTING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 52 -0.988414164230769
1 "SITTING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 52 -0.971467071346154
1 "SITTING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 52 -0.975843207115385
1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "X" 52 -0.0953201320769231
1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Y" 52 -0.0401082268542308
1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Z" 52 -0.0554534285846154
1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "X" 52 -0.993842211923077
1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Y" 52 -0.9947459775
1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Z" 52 -0.9941340675
1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 52 -0.995942333269231
1 "SITTING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 52 -0.994273290384615
1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 52 0.276875692884615
1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 52 -0.0145220521557692
1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 52 -0.1044127165
1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "X" 52 -0.994083535384615
1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 52 -0.975116996346154
1 "SITTING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 52 -0.976155531730769
1 "SITTING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 52 -0.982864775384615
1 "SITTING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 52 -0.978459909038461
1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 52 0.07574939575
1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 52 0.00915676220903846
1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 52 -0.00611080135557692
1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 52 -0.993882550961539
1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 52 -0.986968700192308
1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 52 -0.988951638461538
1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 52 -0.991320705769231
1 "SITTING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 52 -0.990890696346154
1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "X" 52 0.938022554038462
1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Y" 52 -0.0785736409423077
1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Z" 52 0.145161092461538
1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "X" 52 -0.991547086923077
1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Y" 52 -0.980629417692308
1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Z" 52 -0.975023314038461
1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 52 -0.982864775384615
1 "SITTING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "SD" "NA" 52 -0.978459909038461
1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 52 -0.987791569038462
1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 52 -0.986647713653846
1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 52 -0.986802088846154
1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "X" 52 -0.991572158269231
1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 52 -0.981504073269231
1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 52 -0.990208695384615
1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 52 -0.981928315384615
1 "SITTING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 52 -0.976298229230769
1 "SITTING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 52 -0.994562518461539
1 "SITTING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 52 -0.993989166730769
1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 52 -0.993634982307692
1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 52 -0.978307868461538
1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 52 -0.9810432725
1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "X" 52 -0.994310279615385
1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 52 -0.97463778
1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 52 -0.974551284038461
1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 52 -0.982456742692308
1 "SITTING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 52 -0.979205565961539
1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 52 -0.993962126730769
1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 52 -0.986716618269231
1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 52 -0.986997350576923
1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 52 -0.994341503846154
1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 52 -0.988278143076923
1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 52 -0.989518159038462
1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 52 -0.990243476730769
1 "SITTING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 52 -0.990598818653846
1 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 85 -0.0277124374082353
1 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 85 -0.0693813192788235
1 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 85 0.0883755063176471
1 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "X" 85 -0.972202094470588
1 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 85 -0.978487815647059
1 "STANDING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 85 -0.980824576
1 "STANDING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 85 -0.970373976588235
1 "STANDING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 85 -0.963345275764706
1 "STANDING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "X" 85 -0.100517048423529
1 "STANDING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Y" 85 -0.0416788892588235
1 "STANDING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Z" 85 -0.0549623602
1 "STANDING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "X" 85 -0.986841811529412
1 "STANDING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Y" 85 -0.991705467529412
1 "STANDING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Z" 85 -0.991630212470588
1 "STANDING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 85 -0.992271138352941
1 "STANDING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 85 -0.989867351176471
1 "STANDING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 85 0.278971261529412
1 "STANDING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 85 -0.0176250647790588
1 "STANDING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 85 -0.107684548588235
1 "STANDING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "X" 85 -0.991106672705882
1 "STANDING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 85 -0.960146308352941
1 "STANDING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 85 -0.963274428588235
1 "STANDING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 85 -0.974277650941176
1 "STANDING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 85 -0.965254166117647
1 "STANDING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 85 0.0748302113647059
1 "STANDING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 85 0.0125102284291647
1 "STANDING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 85 -0.000843189326705883
1 "STANDING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 85 -0.990555938588235
1 "STANDING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 85 -0.982191073176471
1 "STANDING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 85 -0.988801296352941
1 "STANDING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 85 -0.989323853411765
1 "STANDING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 85 -0.986871386470588
1 "STANDING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "X" 85 0.923877451882353
1 "STANDING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Y" 85 -0.0690943130705882
1 "STANDING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Z" 85 -0.217545914788235
1 "STANDING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "X" 85 -0.989469541882353
1 "STANDING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Y" 85 -0.979321867647059
1 "STANDING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Z" 85 -0.970073916823529
1 "STANDING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 85 -0.974277650941176
1 "STANDING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "SD" "NA" 85 -0.965254166117647
1 "STANDING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 85 -0.972407113764706
1 "STANDING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 85 -0.982395494235294
1 "STANDING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 85 -0.982536502117647
1 "STANDING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "X" 85 -0.972594753882353
1 "STANDING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 85 -0.976535986823529
1 "STANDING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 85 -0.981951331764706
1 "STANDING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 85 -0.975415877411765
1 "STANDING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 85 -0.962397519058824
1 "STANDING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 85 -0.990389884117647
1 "STANDING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 85 -0.989614091529412
1 "STANDING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 85 -0.990359806941176
1 "STANDING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 85 -0.968387368235294
1 "STANDING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 85 -0.975506579764706
1 "STANDING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "X" 85 -0.991469639294118
1 "STANDING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 85 -0.958126019647059
1 "STANDING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 85 -0.959420475764706
1 "STANDING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 85 -0.975064838941176
1 "STANDING" "Freq" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 85 -0.965206414235294
1 "STANDING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 85 -0.990572315411765
1 "STANDING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 85 -0.981895637529412
1 "STANDING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 85 -0.986831266235294
1 "STANDING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 85 -0.991422022352941
1 "STANDING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 85 -0.983960537529412
1 "STANDING" "Freq" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 85 -0.989368644235294
1 "STANDING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 85 -0.986724676352941
1 "STANDING" "Freq" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 85 -0.985875363058824
1 "WALKING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 51 -0.0151721912792157
1 "WALKING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 51 -0.0695955689607843
1 "WALKING" "Time" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 51 0.0818650735686275
1 "WALKING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "X" 51 -0.654171847058824
1 "WALKING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 51 -0.612593634117647
1 "WALKING" "Time" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 51 -0.365489530588235
1 "WALKING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 51 -0.485931932745098
1 "WALKING" "Time" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 51 -0.665078404313726
1 "WALKING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "X" 51 -0.110917348282353
1 "WALKING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Y" 51 -0.0433876843176471
1 "WALKING" "Time" "NA" "Gyroscope" "Jerk" "NA" "Mean" "Z" 51 -0.0532986670705882
1 "WALKING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "X" 51 -0.675889722745098
1 "WALKING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Y" 51 -0.712237752941176
1 "WALKING" "Time" "NA" "Gyroscope" "Jerk" "NA" "SD" "Z" 51 -0.571264779411765
1 "WALKING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 51 -0.671541834117647
1 "WALKING" "Time" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 51 -0.722808438431373
1 "WALKING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 51 0.276023564509804
1 "WALKING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 51 -0.0204286929452941
1 "WALKING" "Time" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 51 -0.108804049803922
1 "WALKING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "X" 51 -0.404692523921569
1 "WALKING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 51 -0.314569762352941
1 "WALKING" "Time" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 51 -0.159799790235294
1 "WALKING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 51 -0.258766694117647
1 "WALKING" "Time" "Body" "Accelerometer" "NA" "Magnitude" "SD" "NA" 51 -0.47180926745098
1 "WALKING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "X" 51 0.0770223771764706
1 "WALKING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Y" 51 0.00968444678235294
1 "WALKING" "Time" "Body" "Accelerometer" "Jerk" "NA" "Mean" "Z" 51 0.00360803282352941
1 "WALKING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "X" 51 -0.396223738431373
1 "WALKING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Y" 51 -0.425563858627451
1 "WALKING" "Time" "Body" "Accelerometer" "Jerk" "NA" "SD" "Z" 51 -0.44025821745098
1 "WALKING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "Mean" "NA" 51 -0.363144483529412
1 "WALKING" "Time" "Body" "Accelerometer" "Jerk" "Magnitude" "SD" "NA" 51 -0.403386563921569
1 "WALKING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "X" 51 0.925981326078431
1 "WALKING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Y" 51 -0.0668246472745098
1 "WALKING" "Time" "Gravity" "Accelerometer" "NA" "NA" "Mean" "Z" 51 -0.217351194313725
1 "WALKING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "X" 51 -0.982469595490196
1 "WALKING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Y" 51 -0.973784841960784
1 "WALKING" "Time" "Gravity" "Accelerometer" "NA" "NA" "SD" "Z" 51 -0.961387254313726
1 "WALKING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "Mean" "NA" 51 -0.258766694117647
1 "WALKING" "Time" "Gravity" "Accelerometer" "NA" "Magnitude" "SD" "NA" 51 -0.47180926745098
1 "WALKING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "X" 51 -0.59574648627451
1 "WALKING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Y" 51 -0.619731930392157
1 "WALKING" "Freq" "NA" "Gyroscope" "NA" "NA" "Mean" "Z" 51 -0.432885310980392
1 "WALKING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "X" 51 -0.673741136862745
1 "WALKING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Y" 51 -0.61194087745098
1 "WALKING" "Freq" "NA" "Gyroscope" "NA" "NA" "SD" "Z" 51 -0.403219791372549
1 "WALKING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "Mean" "NA" 51 -0.669228540784314
1 "WALKING" "Freq" "NA" "Gyroscope" "NA" "Magnitude" "SD" "NA" 51 -0.721137001568627
1 "WALKING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "Mean" "NA" 51 -0.72068229
1 "WALKING" "Freq" "NA" "Gyroscope" "Jerk" "Magnitude" "SD" "NA" 51 -0.745726853921569
1 "WALKING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "X" 51 -0.394790433529412
1 "WALKING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Y" 51 -0.321500667843137
1 "WALKING" "Freq" "Body" "Accelerometer" "NA" "NA" "Mean" "Z" 51 -0.244363048235294
1 "WALKING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "X" 51 -0.409070488039216
1 "WALKING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Y" 51 -0.354370678627451
1 "WALKING" "Freq" "Body" "Accelerometer" "NA" "NA" "SD" "Z" 51 -0.180501317941176
